arquivo,tamanho_paginas,tamanho_memoria,algoritmo,pageFaults, dirtyPages,tempo
../exemplos/simulador.log,2,1024,LRU,11449,4552,0.5625
../exemplos/simulador.log,2,2048,LRU,7663,3308,1.20312
../exemplos/simulador.log,2,4096,LRU,6168,2507,2.26562
../exemplos/simulador.log,2,8192,LRU,5333,937,2.59375
../exemplos/simulador.log,2,16384,LRU,5144,0,2.73438
../exemplos/simulador.log,4,128,LRU,85283,18806,0.171875
../exemplos/simulador.log,4,256,LRU,48301,11945,0.203125
../exemplos/simulador.log,4,512,LRU,27778,8367,0.25
../exemplos/simulador.log,4,1024,LRU,15440,5455,0.375
../exemplos/simulador.log,4,2048,LRU,8089,3384,0.46875
../exemplos/simulador.log,4,4096,LRU,5492,2408,1.04688
../exemplos/simulador.log,4,8192,LRU,4314,1624,1.70312
../exemplos/simulador.log,4,16384,LRU,3890,0,2.1875
../exemplos/simulador.log,8,128,LRU,131827,30140,0.15625
../exemplos/simulador.log,8,256,LRU,78338,17773,0.15625
../exemplos/simulador.log,8,512,LRU,42421,11152,0.1875
../exemplos/simulador.log,8,1024,LRU,22816,7433,0.234375
../exemplos/simulador.log,8,2048,LRU,11884,4683,0.40625
../exemplos/simulador.log,8,4096,LRU,6293,2858,0.578125
../exemplos/simulador.log,8,8192,LRU,4528,2052,0.9375
../exemplos/simulador.log,8,16384,LRU,3669,1203,1.73438
../exemplos/simulador.log,16,128,LRU,208367,53738,0.15625
../exemplos/simulador.log,16,256,LRU,119307,28226,0.15625
../exemplos/simulador.log,16,512,LRU,70724,16598,0.171875
../exemplos/simulador.log,16,1024,LRU,37606,10409,0.1875
../exemplos/simulador.log,16,2048,LRU,18800,6620,0.25
../exemplos/simulador.log,16,4096,LRU,9188,4014,0.375
../exemplos/simulador.log,16,8192,LRU,5108,2453,0.6875
../exemplos/simulador.log,16,16384,LRU,3751,1721,1
../exemplos/simulador.log,32,128,LRU,274439,81612,0.140625
../exemplos/simulador.log,32,256,LRU,174434,47043,0.140625
../exemplos/simulador.log,32,512,LRU,101483,24766,0.15625
../exemplos/simulador.log,32,1024,LRU,60922,14654,0.15625
../exemplos/simulador.log,32,2048,LRU,31700,9211,0.1875
../exemplos/simulador.log,32,4096,LRU,14066,5380,0.265625
../exemplos/simulador.log,32,8192,LRU,6783,3152,0.40625
../exemplos/simulador.log,32,16384,LRU,3837,1890,0.578125
../exemplos/simulador.log,64,128,LRU,427573,128206,0.140625
../exemplos/simulador.log,64,256,LRU,248262,75439,0.140625
../exemplos/simulador.log,64,512,LRU,152352,40997,0.15625
../exemplos/simulador.log,64,1024,LRU,81506,19786,0.15625
../exemplos/simulador.log,64,2048,LRU,46770,10970,0.171875
../exemplos/simulador.log,64,4096,LRU,20809,6532,0.1875
../exemplos/simulador.log,64,8192,LRU,8367,3479,0.234375
../exemplos/simulador.log,64,16384,LRU,3934,1903,0.40625
../exemplos/simulador.log,2,128,FIFO,59155,14134,0.203125
../exemplos/simulador.log,2,256,FIFO,34943,9872,0.265625
../exemplos/simulador.log,2,512,FIFO,20163,6755,0.390625
../exemplos/simulador.log,2,1024,FIFO,11449,4552,0.59375
../exemplos/simulador.log,2,2048,FIFO,7663,3308,1.15625
../exemplos/simulador.log,2,4096,FIFO,6168,2507,2.39062
../exemplos/simulador.log,2,8192,FIFO,5333,937,2.89062
../exemplos/simulador.log,2,16384,FIFO,5144,0,3.125
../exemplos/simulador.log,4,128,FIFO,85283,18806,0.15625
../exemplos/simulador.log,4,256,FIFO,48301,11945,0.1875
../exemplos/simulador.log,4,512,FIFO,27778,8367,0.234375
../exemplos/simulador.log,4,1024,FIFO,15440,5455,0.359375
../exemplos/simulador.log,4,2048,FIFO,8089,3384,0.484375
../exemplos/simulador.log,4,4096,FIFO,5492,2408,1.07812
../exemplos/simulador.log,4,8192,FIFO,4314,1624,1.71875
../exemplos/simulador.log,4,16384,FIFO,3890,0,2.20312
../exemplos/simulador.log,8,128,FIFO,131827,30140,0.15625
../exemplos/simulador.log,8,256,FIFO,78338,17773,0.15625
../exemplos/simulador.log,8,512,FIFO,42421,11152,0.1875
../exemplos/simulador.log,8,1024,FIFO,22816,7433,0.234375
../exemplos/simulador.log,8,2048,FIFO,11884,4683,0.40625
../exemplos/simulador.log,8,4096,FIFO,6293,2858,0.5625
../exemplos/simulador.log,8,8192,FIFO,4528,2052,0.9375
../exemplos/simulador.log,8,16384,FIFO,3669,1203,1.60938
../exemplos/simulador.log,16,128,FIFO,208367,53738,0.15625
../exemplos/simulador.log,16,256,FIFO,119307,28226,0.15625
../exemplos/simulador.log,16,512,FIFO,70724,16598,0.171875
../exemplos/simulador.log,16,1024,FIFO,37606,10409,0.1875
../exemplos/simulador.log,16,2048,FIFO,18800,6620,0.265625
../exemplos/simulador.log,16,4096,FIFO,9188,4014,0.359375
../exemplos/simulador.log,16,8192,FIFO,5108,2453,0.703125
../exemplos/simulador.log,16,16384,FIFO,3751,1721,1.01562
../exemplos/simulador.log,32,128,FIFO,274439,81612,0.140625
../exemplos/simulador.log,32,256,FIFO,174434,47043,0.140625
../exemplos/simulador.log,32,512,FIFO,101483,24766,0.140625
../exemplos/simulador.log,32,1024,FIFO,60922,14654,0.15625
../exemplos/simulador.log,32,2048,FIFO,31700,9211,0.1875
../exemplos/simulador.log,32,4096,FIFO,14066,5380,0.265625
../exemplos/simulador.log,32,8192,FIFO,6783,3152,0.40625
../exemplos/simulador.log,32,16384,FIFO,3837,1890,0.578125
../exemplos/simulador.log,64,128,FIFO,427573,128206,0.125
../exemplos/simulador.log,64,256,FIFO,248262,75439,0.125
../exemplos/simulador.log,64,512,FIFO,152352,40997,0.140625
../exemplos/simulador.log,64,1024,FIFO,81506,19786,0.15625
../exemplos/simulador.log,64,2048,FIFO,46770,10970,0.171875
../exemplos/simulador.log,64,4096,FIFO,20809,6532,0.1875
../exemplos/simulador.log,64,8192,FIFO,8367,3479,0.234375
../exemplos/simulador.log,64,16384,FIFO,3934,1903,0.40625
